store_nbr,sales_2013,sales_2014,sales_2015,pct_14_13,pct_15_14,cat_14_13,cat_15_14,cat_tot,zip_cd,city_name,lat,long,promo_dep13,promo_dep14,promo_dep15
7132,60457751.78,60581457.01,62390543.76,0.002046143,0.029862054,100.00%,100.00%,8,19372,THORNDALE,39.99365,-75.76404,0.148,0.142,0.148
7133,184922450.5,204548269.7,195810704.6,0.106129997,-0.042716397,100.00%,0.00%,5,33178,DORAL,25.84018,-80.37078,0.098,0.104,0.102
7134,72523719.14,71045572.25,65501703.83,-0.020381565,-0.078032568,0.00%,-100.00%,1,60187,WHEATON,41.858588,-88.086411,0.143,0.145,0.145
7137,53690034.23,55334569.54,56400635.27,0.030630178,0.019265818,100.00%,100.00%,8,48103,ANN ARBOR,42.288037,-83.838047,0.131,0.131,0.137
7140,75582753.47,78471161.82,84040333.79,0.038215178,0.070970938,100.00%,100.00%,8,2790,WESTPORT,41.660042,-71.083794,0.164,0.165,0.16
7141,73892365.06,72939920.42,80584298.9,-0.012889622,0.104803768,0.00%,100.00%,7,94559,NAPA,38.28226,-122.28949,0.164,0.17,0.168
7142,56986697.56,58322504.54,52365966.73,0.023440681,-0.102131036,100.00%,-100.00%,2,60441,LOCKPORT,41.583982,-88.025258,0.147,0.15,0.144
7143,49326120.14,57390256.31,61360752.61,0.163486124,0.069184153,100.00%,100.00%,8,60193,SCHAUMBURG,42.002453,-88.126731,0.175,0.17,0.172
7149,46326373.44,46191992.81,45768776.53,-0.002900737,-0.009162113,0.00%,0.00%,4,75234,DALLAS,32.909825,-96.88237,0.126,0.127,0.127
7151,97396797.07,100461425.1,89005234.41,0.031465388,-0.114035717,100.00%,-100.00%,2,77396,HUMBLE,29.937728,-95.269614,0.121,0.124,0.123
7152,24589699.99,19585270.82,19279921.29,-0.203517293,-0.015590774,-100.00%,0.00%,3,55449,BLAINE,45.167078,-93.211527,0.166,0.18,0.179
7154,65203530.39,62150541.73,57015382.99,-0.046822444,-0.082624521,0.00%,-100.00%,1,77069,HOUSTON,29.978714,-95.513666,0.149,0.143,0.14
7155,39572525.9,38645163.17,36972872.95,-0.023434509,-0.04327295,0.00%,0.00%,4,35758,MADISON,34.749456,-86.7682,0.188,0.18,0.179
7156,101670380.6,100741178.8,93388560.76,-0.009139356,-0.072985229,0.00%,-100.00%,1,75080,RICHARDSON,32.977546,-96.741091,0.128,0.128,0.125
7157,92130350.92,87543369.44,82096275.06,-0.049787952,-0.062221667,0.00%,-100.00%,1,28277,CHARLOTTE,35.055868,-80.851107,0.116,0.116,0.114
7159,54646414.87,55737617.67,56250229.05,0.019968424,0.009196866,100.00%,100.00%,8,29466,MOUNT PLEASANT,32.859177,-79.796206,0.134,0.133,0.132
7160,66662033.21,64834825.96,59046386.36,-0.027410014,-0.089279789,0.00%,-100.00%,1,8550,WEST WINDSOR,40.290442,-74.582102,0.125,0.124,0.124
7162,87828774.38,87196271.9,81912095.34,-0.007201541,-0.060600946,0.00%,-100.00%,1,77006,HOUSTON,29.733758,-95.391468,0.093,0.1,0.102
7163,40476397.77,40098275.54,42527368.62,-0.009341795,0.060578492,0.00%,100.00%,7,28348,HOPE MILLS,34.966264,-78.944431,0.153,0.16,0.147
7164,35410002.2,37604982.94,33201590.03,0.061987591,-0.117095995,100.00%,-100.00%,2,77433,CYPRESS,29.880404,-95.723354,0.155,0.138,0.146
7166,27162175.35,24300657.11,26566353.05,-0.105349377,0.093235995,-100.00%,100.00%,6,60827,RIVERDALE,41.633037,-87.62869,0.148,0.15,0.14
7168,44245417.26,37943514.65,38854181.13,-0.142430629,0.024000583,-100.00%,100.00%,6,60490,BOLINGBROOK,41.696339,-88.145207,0.159,0.166,0.172
7170,73888598.94,67139321.24,66976289.26,-0.091343966,-0.002428264,-100.00%,0.00%,3,60073,ROUND LAKE,42.363025,-88.112481,0.154,0.163,0.166
7172,50324762.41,53357928.99,49939507.96,0.060271851,-0.064065849,100.00%,-100.00%,2,55404,MINNEAPOLIS,44.962445,-93.277428,0.129,0.134,0.136
7173,89909850.78,86343933.7,80829996.63,-0.039661028,-0.063860156,0.00%,-100.00%,1,33496,BOCA RATON,26.40894855,-80.12230251,0.121,0.128,0.131
7174,49247478.26,54546934.94,63212776.53,0.107608691,0.158869451,100.00%,100.00%,8,20002,WASHINGTON,38.906,-77.006222,0.118,0.118,0.115
7175,68295855.5,64927355.79,58707420.28,-0.049322169,-0.09579838,0.00%,-100.00%,1,55110,WHITE BEAR LAKE,45.086742,-93.007897,0.132,0.134,0.142
7176,52815886.3,48956047.37,45091693.58,-0.073081022,-0.078935167,-100.00%,-100.00%,0,33541,ZEPHYRHILLS,28.218275,-82.245601,0.167,0.181,0.191
7179,53593609.96,51481994.58,50416163.82,-0.039400507,-0.020702981,0.00%,0.00%,4,36305,DOTHAN,31.24078,-85.48019,0.158,0.157,0.161
7181,44443369.65,51828779.2,51282687.66,0.166175733,-0.010536454,100.00%,0.00%,5,60010,BARRINGTON,42.153275,-88.127999,0.132,0.129,0.129
7182,66335474.18,63371867.14,55935079.21,-0.044676051,-0.117351567,0.00%,-100.00%,1,7755,OAKHURST,40.260294,-74.001225,0.119,0.125,0.13
7183,44977747.59,45354529.61,46103442.79,0.008377076,0.016512423,100.00%,100.00%,8,19350,LANDENBERG,39.807833,-75.750229,0.131,0.128,0.15
7184,53419637.08,55983170.64,51250659.19,0.047988599,-0.084534538,100.00%,-100.00%,2,19152,PHILADELPHIA,40.0547988,-75.05489049,0.149,0.147,0.161
7185,165145391.2,159723986.6,167128698.6,-0.032828071,0.046359424,0.00%,100.00%,7,11783,SEAFORD,40.665895,-73.490677,0.118,0.122,0.121
7188,68582226.67,68404051.06,67867569.03,-0.002597985,-0.00784284,0.00%,0.00%,4,46540,MIDDLEBURY,41.65476,-85.70416,0.149,0.153,0.147
7189,77743132.15,73758287.49,75838726.89,-0.051256549,0.028206178,-100.00%,100.00%,6,18940,WRIGHTSTOWN,40.278703,-74.993326,0.12,0.125,0.13
7190,56626607.06,51847485.59,51141848.69,-0.084397101,-0.013609858,-100.00%,0.00%,3,8758,WARETOWN,39.790883,-74.194658,0.124,0.126,0.139
7191,78477936.56,71892121.74,75209073.06,-0.083919317,0.046137897,-100.00%,100.00%,6,90260,LAWNDALE,33.888089,-118.35178,0.142,0.141,0.138
7196,60971085.43,60143318.49,60671958.66,-0.013576385,0.008789674,0.00%,100.00%,7,75010,CARROLLTON,33.022349,-96.932893,0.122,0.121,0.12
